0,1
"Intro to Hadoop and MapReduce (Udacity)
The Apache™ Hadoop® project develops open-source software for reliable, scalable, distributed computing. Learn the fundamental principles behind it, and how you can use its power to make sense of your Big Data.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=1136
"Intro to Data Science (Udacity)
Learn what it takes to become a data scientist.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=1340
"Introduction to Computational Thinking and Data Science (edX)
This course is an introduction to using computation to understand real-world phenomena. This course will teach you how to use computation to accomplish a variety of goals and provides you with a brief introduction to a variety of topics in computational problem solving. This course is aimed at students with some prior programming experience in Python and a rudimentary knowledge of computational complexity.
Mar 26th 2019
9 Weeks",https://www.mooc-list.com/go.php?courseId=1383
"The Data Scientist's Toolbox (Coursera)
Get an overview of the data, questions, and tools that data analysts and data scientists work with. This is the first course in the Johns Hopkins Data Science Specialisation. In this course you will get an introduction to the main tools and ideas in the data scientist's toolbox. The course gives an overview of the data, questions, and tools that data analysts and data scientists work with. There are two components to this course. The first is a conceptual introduction to the ideas behind turning data into actionable knowledge. The second is a practical introduction to the tools that will be used in the program like version control, markdown, git, Github, R, and Rstudio.
Sep 9th 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=1530
"R Programming (Coursera)
In this course you will learn how to program in R and how to use R for effective data analysis. You will learn how to install and configure software necessary for a statistical programming environment and describe generic programming language concepts as they are implemented in a high-level statistical language. The course covers practical issues in statistical computing which includes programming in R, reading data into R, accessing R packages, writing R functions, debugging, profiling R code, and organizing and commenting R code. Topics in statistical data analysis will provide working examples.
Sep 9th 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=1531
"Getting and Cleaning Data (Coursera)
Before you can work with data you have to get some. This course will cover the basic ways that data can be obtained. The course will cover obtaining data from the web, from APIs, from databases and from colleagues in various formats. It will also cover the basics of data cleaning and how to make data “tidy”. Tidy data dramatically speed downstream data analysis tasks. The course will also cover the components of a complete data set including raw data, processing instructions, codebooks, and processed data. The course will cover the basics needed for collecting, cleaning, and sharing data.
Sep 9th 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=1532
"Statistical Inference (Coursera)
Statistical inference is the process of drawing conclusions about populations or scientific truths from data. There are many modes of performing inference including statistical modeling, data oriented strategies and explicit use of designs and randomization in analyses. Furthermore, there are broad theories (frequentists, Bayesian, likelihood, design based, …) and numerous complexities (missing data, observed and unobserved confounding, biases) for performing inference. A practitioner can often be left in a debilitating maze of techniques, philosophies and nuance.
Sep 9th 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=1643
"Reproducible Research (Coursera)
This course focuses on the concepts and tools behind reporting modern data analyses in a reproducible manner. Reproducible research is the idea that data analyses, and more generally, scientific claims, are published with their data and software code so that others may verify the findings and build upon them. The need for reproducibility is increasing dramatically as data analyses become more complex, involving larger datasets and more sophisticated computations. Reproducibility allows for people to focus on the actual content of a data analysis, rather than on superficial details reported in a written summary.
Sep 9th 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=1644
"Exploratory Data Analysis (Coursera)
This course covers the essential exploratory techniques for summarizing data. These techniques are typically applied before formal modeling commences and can help inform the development of more complex statistical models. Exploratory techniques are also important for eliminating or sharpening potential hypotheses about the world that can be addressed by the data. We will cover in detail the plotting systems in R as well as some of the basic principles of constructing data graphics. We will also cover some of the common multivariate statistical techniques used to visualize high-dimensional data.
Sep 9th 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=1645
"Regression Models (Coursera)
Linear models, as their name implies, relates an outcome to a set of predictors of interest using linear assumptions. Regression models, a subset of linear models, are the most important statistical analysis tool in a data scientist’s toolkit. This course covers regression analysis, least squares and inference using regression models. Special cases of the regression model, ANOVA and ANCOVA will be covered as well. Analysis of residuals and variability will be investigated. The course will cover modern thinking on model selection and novel uses of regression models including scatterplot smoothing.
Sep 9th 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=1716
"Practical Machine Learning (Coursera)
One of the most common tasks performed by data scientists and data analysts are prediction and machine learning. This course will cover the basic components of building and applying prediction functions with an emphasis on practical applications. The course will provide basic grounding in concepts such as training and tests sets, overfitting, and error rates. The course will also introduce a range of model based and algorithmic machine learning methods including regression, classification trees, Naive Bayes, and random forests. The course will cover the complete process of building prediction functions including data collection, feature creation, algorithms, and evaluation.
Sep 9th 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=1724
"Intro to Computer Science (Udacity)
In this introductory course, you’ll learn and practice key computer science concepts by building your own versions of popular web applications. You’ll learn Python, a powerful, easy-to-learn, and widely used programming language, and you’ll explore fundamental computer science concepts, as you build your own search engine and social network.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=19
"Usable Security (Coursera)
This course focuses on how to design and build secure systems with a human-centric focus. We will look at basic principles of human-computer interaction, and apply these insights to the design of secure systems with the goal of developing security measures that respect human performance and their goals within a system.
Aug 19th 2019
7 Weeks",https://www.mooc-list.com/go.php?courseId=1938
"Introduction to Cyber Security (FutureLearn)
Our lives depend on online services. Gain essential cyber security knowledge and skills, to help protect your digital life. This online course will help you understand online security and protect your digital life, whether at home or work.
Jul 1st 2019
8 Weeks",https://www.mooc-list.com/go.php?courseId=2102
"Software Security (Cousera)
This course we will explore the foundations of software security. We will consider important software vulnerabilities and attacks that exploit them -- such as buffer overflows, SQL injection, and session hijacking -- and we will consider defenses that prevent or mitigate these attacks, including advanced testing and program analysis techniques. Importantly, we take a ""build security in"" mentality, considering techniques at each phase of the development cycle that can be used to strengthen the security of software systems.
Aug 19th 2019
6 Weeks",https://www.mooc-list.com/go.php?courseId=2261
"Cryptography (Coursera)
This course will introduce you to the foundations of modern cryptography, with an eye toward practical applications.
Sep 2nd 2019
7 Weeks",https://www.mooc-list.com/go.php?courseId=2377
"Process Mining: Data science in Action (Coursera)
Process mining is the missing link between model-based process analysis and data-oriented analysis techniques. Through concrete data sets and easy to use software the course provides data science knowledge that can be applied directly to analyze and improve processes in a variety of domains. Data science is the profession of the future, because organizations that are unable to use (big) data in a smart way will not survive. It is not sufficient to focus on data storage and data analysis. The data scientist also needs to relate data to process analysis.
Sep 2nd 2019
8 Weeks",https://www.mooc-list.com/go.php?courseId=2380
"Data Science Capstone (Coursera)
The capstone project class will allow students to create a usable/public data product that can be used to show your skills to potential employers. Projects will be drawn from real-world problems and will be conducted with industry, government, and academic partners.
Aug 5th 2019
7 Weeks",https://www.mooc-list.com/go.php?courseId=2426
"CompTIA Security+ (Cybrary)
CompTIA’s Security+ certification has long been a top choice for those looking for their introduction into the cyber security industry—it provides the foundational knowledge for securing a network and managing risk. It also is approved by the U.S Department of Defense to meet information assurance technical and management certification requirements, so it’s a pretty huge distinction and in great demand. The certification will help people enter into the cyber security field, and will validate a fundamental cyber security skill set.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=2780
"Cryptography (Cybrary)
What is Cryptography and how does it work? In this course, you will examine how cryptography is the cornerstone of security technologies, and how through its use of different encryption methods, such as ciphers, and public or private keys, you can protect private or sensitive information from unauthorized access.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=2781
"Advanced Penetration Testing (Cybrary)
Aggressive systems require aggressive hackers. Advanced Penetration Testing training embodies that notion. It’s an intense approach to the world of exploitation and pentesting set in the highest security environments around. In our free online Advanced Penetration Testing training class, you’ll learn how to challenge traditional practices and use alternate methods and software in penetration testing.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=2782
"Post-Exploitation Hacking (Cybrary)
As the name implies, Post Exploitation Hacking – Persistence and Continued Access, refers to the series of steps to be followed after breaking into a system. Offensive hacking to accomplish an objective requires ultimate stealth—but unfortunately many hackers (both script-kiddies and experienced professionals) sometimes fail to perform acts that conceal their identity and exploit their target covertly and consistently for intelligence and to accomplish the mission. In this free self-paced online training course, you’ll cover three main topics: Information Gathering, Backdooring and Covering Steps.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=2783
"Computer and Hacking Forensics (Cybrary)
Digital crime is more prevalent than ever, and the attacks are getting highly complex. Security software can’t pinpoint it—the eyes and expertise of a trained professional is necessary. Our free Computer and Hacking Forensics training teaches you how to become that professional.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=2786
"Penetration Testing and Ethical Hacking (Cybrary)
As the amount of cyber threats continue to grow, so does the Cyber Security industry. The need for capable ethical hackers is a global need. Ethical hackers are “white-hat” hackers (aka the good guys) that penetrate secured systems to highlight flaws and weaknesses in a system. They help government agencies, private businesses and public organizations identify what is secure and what needs to be fixed. If the idea of hacking as a career excites you, you’ll benefit greatly from completing Penetration Testing and Ethical Hacking training here on Cybrary.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=2787
" Introduction to R (Leada)
The course gives you an introduction to using R.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=2877
"Analyzing your Facebook Data in Python (Leada)
This course will guide you through analyzing your own Facebook data.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=2879
"Innovation and IT Management (edX)
Learn key decision-making skills to better manage and implement IT and innovation in your workplace. Information Technology (IT) changes the manner and scope in which businesses operate and compete. Innovations in IT have led some businesses to flourish, while others have faltered due to massive changes brought by this industry. IT is notoriously hard to manage.
Feb 21st 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=3319
"Statistics for Genomic Data Science (Coursera)
An introduction to the statistics behind the most popular genomic data science projects. This is the sixth course in the Genomic Big Data Science Specialization from Johns Hopkins University.
Aug 26th 2019
5 Weeks",https://www.mooc-list.com/go.php?courseId=3588
"Bioconductor for Genomic Data Science (Coursera)
Learn to use tools from the Bioconductor project to perform analysis of genomic data. This is the fifth course in the Genomic Big Data Specialization from Johns Hopkins University.
Aug 26th 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=3589
"Genomic Data Science and Clustering (Bioinformatics V) (Coursera)
How do we infer which genes orchestrate various processes in the cell? How did humans migrate out of Africa and spread around the world? In this class, we will see that these two seemingly different questions can be addressed using similar algorithmic and machine learning techniques arising from the general problem of dividing data points into distinct clusters.
Sep 2nd 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=3805
"Statistical Thinking for Data Science and Analytics (edX)
Learn how statistics plays a central role in the data science approach. This statistics and data analysis course will pave the statistical foundation for our discussion on data science. You will learn how data scientists exercise statistical thinking in designing data collection, derive insights from visualizing data, obtain supporting evidence for data-based decisions and construct models for predicting future trends from data.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=3833
"Introduction to Python for Data Science (edX)
The ability to analyze data with Python is critical in data science. Learn the basics, and move on to create stunning visualizations. Python is a very powerful programming language used for many different applications.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=3929
"Enabling Technologies for Data Science and Analytics: The Internet of Things (edX)
Discover the relationship between Big Data and the Internet of Things (IoT). The Internet of Things is rapidly growing. It is predicted that more than 25 billion devices will be connected by 2020. In this data science course, you will learn about the major components of the Internet of Things and how data is acquired from sensors. You will also examine ways of analyzing event data, sentiment analysis, facial recognition software and how data generated from devices can be used to make decisions.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=4118
"Introduction to Big Data (Coursera)
Interested in increasing your knowledge of the Big Data landscape? This course is for those new to data science and interested in understanding why the Big Data Era has come to be. It is for those who want to become conversant with the terminology and the core concepts behind big data problems, applications, and systems.
Sep 2nd 2019
3 Weeks",https://www.mooc-list.com/go.php?courseId=4152
"Data Science in Real Life (Coursera)
Have you ever had the perfect data science experience? The data pull went perfectly. There were no merging errors or missing data. Hypotheses were clearly defined prior to analyses. Randomization was performed for the treatment of interest. The analytic plan was outlined prior to analysis and followed exactly. The conclusions were clear and actionable decisions were obvious. Has that every happened to you? Of course not. Data analysis in real life is messy. How does one manage a team facing real data analyses? In this one-week course, we contrast the ideal with what happens in real life. By contrasting the ideal, you will learn key concepts that will help you manage real life analyses.
Sep 2nd 2019
1 Week",https://www.mooc-list.com/go.php?courseId=4347
"Building a Data Science Team (Coursera)
Data science is a team sport. As a data science executive it is your job to recruit, organize, and manage the team to success. In this one-week course, we will cover how you can find the right people to fill out your data science team, how to organize them to give them the best chance to feel empowered and successful, and how to manage your team as it grows.
Sep 2nd 2019
1 Week",https://www.mooc-list.com/go.php?courseId=4348
"A Crash Course in Data Science (Coursera)
By now you have definitely heard about data science and big data. In this one-week class, we will provide a crash course in what these terms mean and how they play a role in successful organizations. This class is for anyone who wants to learn what all the data science action is about, including those who will eventually need to manage data scientists. The goal is to get you up to speed as quickly as possible on data science without all the fluff. We've designed this course to be as convenient as possible without sacrificing any of the essentials.
Sep 2nd 2019
1 Week",https://www.mooc-list.com/go.php?courseId=4349
"Managing Data Analysis (Coursera)
This one-week course describes the process of analyzing data and how to manage that process. We describe the iterative nature of data analysis and the role of stating a sharp question, exploratory data analysis, inference, formal statistical modeling, interpretation, and communication. In addition, we will describe how to direct analytic activities within a team and to drive the data analysis process towards coherent and useful results.
Sep 2nd 2019
1 Week",https://www.mooc-list.com/go.php?courseId=4350
"Introduction to R for Data Science (edX)
Learn the R statistical programming language, the lingua franca of data science in this hands-on course. R is rapidly becoming the leading language in data science and statistics. Today, the R programming language is the tool of choice for data scientists in every industry and field. Whether you are a full-time number cruncher, or just the occasional data analyst, R will suit your needs.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=4398
"Implementing Predictive Solutions with Spark in Azure HDInsight (edX)
Learn how to use Hadoop technologies in Microsoft Azure HDInsight to create predictive analytics and machine learning solutions. Are you ready for big data science? In this course, learn how to implement predictive analytics solutions for big data using Apache Spark in Microsoft Azure HDInsight. You will learn how to work with Scala or Python to cleanse and transform data, build machine learning models with Spark MLlib (the machine learning library in Spark), and create real-time machine learning solutions using Spark Streaming. Plus, find out how to use R Server on Spark to work with data at scale in the R language.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=4411
"Communicating Data Science Results (Coursera)
Making predictions is not enough! Effective data scientists know how to explain and interpret their results, and communicate findings accurately to stakeholders to inform business decisions. Visualization is the field of research in computer science that studies effective communication of quantitative results by linking perception, cognition, and algorithms to exploit the enormous bandwidth of the human visual cortex. In this course you will learn to recognize, design, and use effective visualizations.
Sep 9th 2019
3 Weeks",https://www.mooc-list.com/go.php?courseId=4418
"Data Manipulation at Scale: Systems and Algorithms (Coursera)
Data analysis has replaced data acquisition as the bottleneck to evidence-based decision making --- we are drowning in it. Extracting knowledge from large, heterogeneous, and noisy datasets requires not only powerful computing resources, but the programming abstractions to use them effectively. The abstractions that emerged in the last decade blend ideas from parallel databases, distributed systems, and programming languages to create a new class of scalable data analytics platforms that form the foundation for data science at realistic scales.
Sep 9th 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=4419
"Practical Predictive Analytics: Models and Methods (Coursera)
Statistical experiment design and analytics are at the heart of data science. In this course you will design statistical experiments and analyze the results using modern methods. You will also explore the common pitfalls in interpreting statistical arguments, especially those associated with big data. Collectively, this course will help you internalize a core set of practical and effective machine learning methods and concepts, and apply them to solve some real world problems.
Sep 9th 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=4420
"Machine Learning for Data Science and Analytics (edX)
Learn the principles of machine learning and the importance of algorithms. Machine Learning is a growing field that is used when searching the web, placing ads, credit scoring, stock trading and for many other applications. This data science course is an introduction to machine learning and algorithms. You will develop a basic understanding of the principles of machine learning and derive practical solutions using predictive analytics. We will also examine why algorithms play an essential role in Big Data analysis.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=4505
"Programming with R for Data Science (edX)
Learn the fundamentals of programming with R, from reading and writing data to customizing visualizations and performing predictive analysis. In this computer science course from Microsoft, developed in collaboration with the Technical University of Denmark (DTU), get the knowledge and skills you need to use R, the statistical programming language for data scientists, in the field of your choice.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=4551
"Data Science Ethics (edX)
Learn how to think through the ethics surrounding privacy, data sharing, and algorithmic decision-making. As patients, we care about the privacy of our medical record; but as patients, we also wish to benefit from the analysis of data in medical records. As citizens, we want a fair trial before being punished for a crime; but as citizens, we want to stop terrorists before they attack us. As decision-makers, we value the advice we get from data-driven algorithms; but as decision-makers, we also worry about unintended bias.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=4618
"Cybersecurity and Its Ten Domains (Coursera)
This course is designed to introduce students, working professionals and the community to the exciting field of cybersecurity. Throughout the MOOC, participants will engage in community discourse and online interaction. Participants will gain knowledge and understanding of cybersecurity and its domains.
Sep 9th 2019
7 Weeks",https://www.mooc-list.com/go.php?courseId=4629
"Advanced Linear Models for Data Science 1 : Linear Models (Coursera)
Welcome to the Advanced Linear Models for Data Science Class 1: Least Squares. This class is an introduction to least squares from a linear algebraic and mathematical perspective.
Sep 2nd 2019
5 Weeks",https://www.mooc-list.com/go.php?courseId=4743
"Introducción a Data Science: Programación Estadística con R (Coursera)
Este curso te proporcionará las bases del lenguaje de programación estadística R, la lengua franca de la estadística, el cual te permitirá escribir programas que lean, manipulen y analicen datos cuantitativos. Te explicaremos la instalación del lenguaje; también verás una introducción a los sistemas base de gráficos y al paquete para graficar ggplot2, para visualizar estos datos. Además también abordarás la utilización de uno de los IDEs más populares entre la comunidad de usuarios de R, llamado RStudio.
Sep 9th 2019
4 Weeks",https://www.mooc-list.com/go.php?courseId=4898
"Data Science Essentials (edX)
Explore data visualization and exploration concepts with experts from MIT and Microsoft, and get an introduction to machine learning. Demand for data science talent is exploding. Develop your career as a data scientist, as you explore essential skills and principles with experts from MIT and Microsoft. In this data science course, you will learn key concepts in data acquisition, preparation, exploration, and visualization. Plus, look at examples of how to build a cloud data science solution using Azure Machine Learning, R, and Python.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=4990
"Data Science Orientation (edX)
Get started on your Data Science journey. Learn what it takes to become a data scientist. This is the first stop in the Data Science curriculum from Microsoft. It will help you get started with the program, plan your learning schedule, and connect with fellow students and teaching assistants. Along the way, you’ll get an introduction to working with and exploring data using a variety of visualization, analytical, and statistical techniques.
Self Paced
Self-Paced",https://www.mooc-list.com/go.php?courseId=5070
